0: [(-3, 3), (134, 140), (140, 134), (3, -3)]
32: [(-3, 3), (132, 142), (138, 136), (3, -3)]
64: [(-3, 3), (130, 144), (136, 139), (3, -3)]
96: [(-3, 3), (128, 146), (134, 141), (3, -3)]
128: [(-3, 3), (126, 148), (132, 143), (3, -3)]
160: [(-3, 3), (123, 150), (129, 145), (3, -3)]
192: [(-3, 3), (121, 152), (127, 146), (3, -3)]
224: [(-3, 3), (119, 153), (125, 148), (3, -3)]
256: [(-3, 2), (116, 155), (123, 150), (3, -2)]
288: [(-3, 2), (114, 157), (121, 152), (3, -2)]
320: [(-3, 2), (112, 159), (118, 154), (3, -2)]
352: [(-3, 2), (109, 160), (116, 156), (3, -2)]
384: [(-3, 2), (107, 162), (113, 157), (3, -2)]
416: [(-3, 2), (104, 164), (111, 159), (3, -2)]
448: [(-3, 2), (102, 165), (109, 161), (3, -2)]
480: [(-3, 2), (99, 167), (106, 162), (3, -2)]
512: [(-3, 2), (97, 168), (104, 164), (3, -2)]
544: [(-3, 2), (94, 170), (101, 166), (3, -2)]
576: [(-3, 2), (92, 171), (99, 167), (3, -2)]
608: [(-4, 2), (89, 172), (96, 168), (4, -2)]
641: [(-4, 2), (87, 174), (94, 170), (4, -2)]
673: [(-4, 2), (84, 175), (91, 171), (4, -2)]
705: [(-4, 2), (81, 176), (89, 173), (4, -2)]
737: [(-4, 2), (79, 177), (86, 174), (4, -2)]
769: [(-4, 2), (76, 179), (83, 175), (4, -2)]
801: [(-4, 2), (73, 180), (81, 177), (4, -2)]
833: [(-4, 2), (71, 181), (78, 178), (4, -2)]
865: [(-4, 1), (68, 182), (75, 179), (4, -1)]
897: [(-4, 1), (65, 183), (73, 180), (4, -1)]
929: [(-4, 1), (62, 184), (70, 181), (4, -1)]
961: [(-4, 1), (60, 185), (67, 182), (4, -1)]
993: [(-4, 1), (57, 186), (64, 183), (4, -1)]
1025: [(-4, 1), (54, 186), (62, 184), (4, -1)]
1057: [(-4, 1), (51, 187), (59, 185), (4, -1)]
1089: [(-4, 1), (48, 188), (56, 186), (4, -1)]
1121: [(-4, 1), (45, 189), (53, 187), (4, -1)]
1153: [(-4, 1), (43, 189), (50, 187), (4, -1)]
1185: [(-4, 1), (40, 190), (47, 188), (4, -1)]
1217: [(-4, 1), (37, 191), (45, 189), (4, -1)]
1250: [(-4, 1), (34, 191), (42, 189), (4, -1)]
1282: [(-4, 1), (31, 192), (39, 190), (4, -1)]
1314: [(-4, 1), (28, 192), (36, 191), (4, -1)]
1346: [(-4, 1), (25, 192), (33, 191), (4, -1)]
1378: [(-4, 1), (22, 193), (30, 192), (4, -1)]
1410: [(-4, 0), (19, 193), (27, 192), (4, 0)]
1442: [(-4, 0), (16, 193), (24, 192), (4, 0)]
1474: [(-4, 0), (14, 194), (22, 193), (4, 0)]
1506: [(-4, 0), (11, 194), (19, 193), (4, 0)]
1538: [(-4, 0), (8, 194), (16, 193), (4, 0)]
1570: [(-4, 0), (5, 194), (13, 194), (4, 0)]
1602: [(-4, 0), (2, 194), (10, 194), (4, 0)]
1634: [(-4, 0), (-1, 194), (7, 194), (4, 0)]
1666: [(-4, 0), (-4, 194), (4, 194), (4, 0)]
1698: [(-4, 0), (-7, 194), (1, 194), (4, 0)]
1730: [(-4, 0), (-10, 194), (-2, 194), (4, 0)]
1762: [(-4, 0), (-13, 194), (-5, 194), (4, 0)]
1794: [(-4, 0), (-16, 193), (-8, 194), (4, 0)]
1826: [(-4, 0), (-19, 193), (-11, 194), (4, 0)]
1858: [(-4, 0), (-22, 193), (-14, 194), (4, 0)]
1891: [(-4, 0), (-24, 192), (-16, 193), (4, 0)]
1923: [(-4, 0), (-27, 192), (-19, 193), (4, 0)]
1955: [(-4, -1), (-30, 192), (-22, 193), (4, 1)]
1987: [(-4, -1), (-33, 191), (-25, 192), (4, 1)]
2019: [(-4, -1), (-36, 191), (-28, 192), (4, 1)]
2051: [(-4, -1), (-39, 190), (-31, 192), (4, 1)]
2083: [(-4, -1), (-42, 189), (-34, 191), (4, 1)]
2115: [(-4, -1), (-45, 189), (-37, 191), (4, 1)]
2147: [(-4, -1), (-47, 188), (-40, 190), (4, 1)]
2179: [(-4, -1), (-50, 187), (-43, 189), (4, 1)]
2211: [(-4, -1), (-53, 187), (-45, 189), (4, 1)]
2243: [(-4, -1), (-56, 186), (-48, 188), (4, 1)]
2275: [(-4, -1), (-59, 185), (-51, 187), (4, 1)]
2307: [(-4, -1), (-62, 184), (-54, 186), (4, 1)]
2339: [(-4, -1), (-64, 183), (-57, 186), (4, 1)]
2371: [(-4, -1), (-67, 182), (-60, 185), (4, 1)]
